"lemma","pos","level","english","example_de","example_en","gender","plural","separable","aux","praesens_ich","praesens_er","praeteritum","partizip_ii","perfekt","comparative","superlative","sources_csv","source_notes"
"arbeiten","V","A1","to work","Sie arbeitete in einer Bank.","Er hat als Koch gearbeitet.",,,,"haben",,,"arbeitete","gearbeitet","hat gearbeitet",,,"Goethe-Institut","A1 Essential Verbs"
"essen","V","A1","to eat","Er aß ein Sandwich.","Wir haben zu Mittag gegessen.",,,,"haben",,,"aß","gegessen","hat gegessen",,,"Goethe-Institut","A1 Essential Verbs"
"gehen","V","A1","to go","Er ging zur Schule.","Wir sind nach Hause gegangen.",,,,"sein",,,"ging","gegangen","ist gegangen",,,"Goethe-Institut","A1 Essential Verbs"
"haben","V","A1","to have","Ich hatte keine Zeit.","Er hat viel Geld gehabt.",,,,"haben",,,"hatte","gehabt","hat gehabt",,,"Goethe-Institut","A1 Essential Verbs"
"heißen","V","A1","to be called","Er hieß Peter.","Sie hat anders geheißen.",,,,"haben",,,"hieß","geheißen","hat geheißen",,,"Goethe-Institut","A1 Essential Verbs"
"hören","V","A1","to hear","Sie hörte Musik.","Ich habe ein Geräusch gehört.",,,,"haben",,,"hörte","gehört","hat gehört",,,"Goethe-Institut","A1 Essential Verbs"
"kaufen","V","A1","to buy","Sie kaufte neue Schuhe.","Er hat ein Auto gekauft.",,,,"haben",,,"kaufte","gekauft","hat gekauft",,,"Goethe-Institut","A1 Essential Verbs"
"kommen","V","A1","to come","Sie kam spät.","Der Bus ist pünktlich gekommen.",,,,"sein",,,"kam","gekommen","ist gekommen",,,"Goethe-Institut","A1 Essential Verbs"
"können","V","A1","can/to be able to","Er konnte gut schwimmen.","Das hat er immer gut gekonnt.",,,,"haben",,,"konnte","gekonnt","hat gekonnt",,,"Goethe-Institut","A1 Essential Verbs"
"leben","V","A1","to live","Er lebte in Berlin.","Sie hat lange in Paris gelebt.",,,,"haben",,,"lebte","gelebt","hat gelebt",,,"Goethe-Institut","A1 Essential Verbs"
"lernen","V","A1","to learn","Sie lernte Deutsch.","Er hat viel gelernt.",,,,"haben",,,"lernte","gelernt","hat gelernt",,,"Goethe-Institut","A1 Essential Verbs"
"lesen","V","A1","to read","Sie las ein interessantes Buch.","Er hat die Zeitung gelesen.",,,,"haben",,,"las","gelesen","hat gelesen",,,"Goethe-Institut","A1 Essential Verbs"
"machen","V","A1","to make/do","Er machte seine Hausaufgaben.","Sie hat das Essen gemacht.",,,,"haben",,,"machte","gemacht","hat gemacht",,,"Goethe-Institut","A1 Essential Verbs"
"müssen","V","A1","must/to have to","Ich musste früh aufstehen.","Er hat arbeiten gemusst.",,,,"haben",,,"musste","gemusst","hat gemusst",,,"Goethe-Institut","A1 Essential Verbs"
"schlafen","V","A1","to sleep","Das Kind schlief tief.","Ich habe gut geschlafen.",,,,"haben",,,"schlief","geschlafen","hat geschlafen",,,"Goethe-Institut","A1 Essential Verbs"
"schreiben","V","A1","to write","Er schrieb einen Brief.","Sie hat eine E-Mail geschrieben.",,,,"haben",,,"schrieb","geschrieben","hat geschrieben",,,"Goethe-Institut","A1 Essential Verbs"
"sehen","V","A1","to see","Er sah einen Film.","Wir haben uns gestern gesehen.",,,,"haben",,,"sah","gesehen","hat gesehen",,,"Goethe-Institut","A1 Essential Verbs"
"sein","V","A1","to be","Er war gestern krank.","Sie ist lange in Berlin gewesen.",,,,"sein",,,"war","gewesen","ist gewesen",,,"Goethe-Institut","A1 Essential Verbs"
"sollen","V","A1","should/ought to","Du solltest mehr lernen.","Das hätte ich nicht gesollt.",,,,"haben",,,"sollte","gesollt","hat gesollt",,,"Goethe-Institut","A1 Essential Verbs"
"spielen","V","A1","to play","Das Kind spielte im Garten.","Wir haben Fußball gespielt.",,,,"haben",,,"spielte","gespielt","hat gespielt",,,"Goethe-Institut","A1 Essential Verbs"
"sprechen","V","A1","to speak","Er sprach sehr gut Deutsch.","Sie hat mit ihrer Mutter gesprochen.",,,,"haben",,,"sprach","gesprochen","hat gesprochen",,,"Goethe-Institut","A1 Essential Verbs"
"trinken","V","A1","to drink","Sie trank Wasser.","Er hat Kaffee getrunken.",,,,"haben",,,"trank","getrunken","hat getrunken",,,"Goethe-Institut","A1 Essential Verbs"
"werden","V","A1","to become","Sie wurde Lehrerin.","Er ist Arzt geworden.",,,,"sein",,,"wurde","geworden","ist geworden",,,"Goethe-Institut","A1 Essential Verbs"
"wohnen","V","A1","to live/reside","Er wohnte im Zentrum.","Sie hat in einem Apartment gewohnt.",,,,"haben",,,"wohnte","gewohnt","hat gewohnt",,,"Goethe-Institut","A1 Essential Verbs"
"wollen","V","A1","to want","Er wollte nach Hause.","Sie hat das nicht gewollt.",,,,"haben",,,"wollte","gewollt","hat gewollt",,,"Goethe-Institut","A1 Essential Verbs"
"fahren","V","A2","to drive/ride","Sie fuhr nach Berlin.","Er ist Auto gefahren.",,,,"sein",,,"fuhr","gefahren","ist gefahren",,,"Goethe-Institut","A2 Common Verbs"
"fliegen","V","A2","to fly","Das Flugzeug flog nach Paris.","Wir sind nach London geflogen.",,,,"sein",,,"flog","geflogen","ist geflogen",,,"Goethe-Institut","A2 Common Verbs"
